,Sport,NOC,Medal
0,Aeronautics,SUI,1
1,Alpinism,GER,2
2,Alpinism,SUI,2
3,Archery,AUS,5
4,Archery,BEL,52
5,Archery,CHN,19
6,Archery,ESP,3
7,Archery,EUN,4
8,Archery,FIN,6
9,Archery,FRA,48
10,Archery,GBR,13
11,Archery,GER,7
12,Archery,INA,3
13,Archery,ITA,15
14,Archery,JPN,7
15,Archery,KOR,69
16,Archery,MEX,2
17,Archery,NED,9
18,Archery,POL,4
19,Archery,RUS,4
20,Archery,SWE,2
21,Archery,TPE,9
22,Archery,UKR,8
23,Archery,URS,7
24,Archery,USA,57
25,Art Competitions,AUT,10
26,Art Competitions,BEL,8
27,Art Competitions,CAN,2
28,Art Competitions,DEN,9
29,Art Competitions,FIN,5
30,Art Competitions,FRA,15
31,Art Competitions,GBR,9
32,Art Competitions,GER,26
33,Art Competitions,GRE,1
34,Art Competitions,HUN,5
35,Art Competitions,IRL,3
36,Art Competitions,ITA,14
37,Art Competitions,JPN,2
38,Art Competitions,LUX,3
39,Art Competitions,MON,1
40,Art Competitions,NED,7
41,Art Competitions,NOR,1
42,Art Competitions,POL,8
43,Art Competitions,RSA,2
44,Art Competitions,SUI,9
45,Art Competitions,SWE,4
46,Art Competitions,TCH,3
47,Art Competitions,USA,9
48,Athletics,ALG,9
49,Athletics,ANZ,1
50,Athletics,ARG,5
51,Athletics,AUS,87
52,Athletics,AUT,7
53,Athletics,BAH,36
54,Athletics,BAR,1
55,Athletics,BDI,2
56,Athletics,BEL,16
57,Athletics,BLR,17
58,Athletics,BOH,1
59,Athletics,BOT,1
60,Athletics,BRA,26
61,Athletics,BRN,3
62,Athletics,BUL,19
63,Athletics,CAN,98
64,Athletics,CHI,2
65,Athletics,CHN,27
66,Athletics,CIV,1
67,Athletics,CMR,2
68,Athletics,COL,3
69,Athletics,CRO,5
70,Athletics,CUB,58
71,Athletics,CZE,12
72,Athletics,DEN,7
73,Athletics,DJI,1
74,Athletics,DOM,3
75,Athletics,ECU,2
76,Athletics,ERI,1
77,Athletics,ESP,14
78,Athletics,EST,6
79,Athletics,ETH,53
80,Athletics,EUN,29
81,Athletics,FIN,138
82,Athletics,FRA,114
83,Athletics,FRG,71
84,Athletics,GBR,336
85,Athletics,GDR,140
86,Athletics,GER,153
87,Athletics,GRE,27
88,Athletics,GRN,2
89,Athletics,GUA,1
90,Athletics,HAI,1
91,Athletics,HUN,49
92,Athletics,IND,2
93,Athletics,IRI,1
94,Athletics,IRL,6
95,Athletics,ISL,2
96,Athletics,ITA,72
97,Athletics,JAM,156
98,Athletics,JPN,31
99,Athletics,KAZ,4
100,Athletics,KEN,99
101,Athletics,KOR,2
102,Athletics,KSA,1
103,Athletics,LAT,5
104,Athletics,LTU,5
105,Athletics,LUX,2
106,Athletics,MAR,19
107,Athletics,MEX,11
108,Athletics,MOZ,2
109,Athletics,NAM,4
110,Athletics,NED,22
111,Athletics,NGR,41
112,Athletics,NOR,20
113,Athletics,NZL,24
114,Athletics,PAN,3
115,Athletics,PHI,2
116,Athletics,POL,72
117,Athletics,POR,10
118,Athletics,PUR,1
119,Athletics,QAT,3
120,Athletics,ROU,35
121,Athletics,RSA,31
122,Athletics,RUS,103
123,Athletics,SEN,1
124,Athletics,SLO,4
125,Athletics,SRB,1
126,Athletics,SRI,2
127,Athletics,SUD,1
